player_name,position,jersey_number,line,pp_unit,team,source
Brady Skjei,D,76,2,PP2,NSH,dailyfaceoff
Nick Perbix,D,48,2,,NSH,dailyfaceoff
Spencer Stastney,D,,3,,NSH,dailyfaceoff
Justin Barron,D,20,3,,NSH,dailyfaceoff
Evgenii Dadonov,F,33,1,PP2,NJD,dailyfaceoff
Jack Hughes,F,86,1,PP1,NJD,dailyfaceoff
Jesper Bratt,F,63,1,PP1,NJD,dailyfaceoff
Timo Meier,F,28,2,PP1,NJD,dailyfaceoff
Nico Hischier,F,13,2,PP1,NJD,dailyfaceoff
Dawson Mercer,F,91,2,PP2,NJD,dailyfaceoff
Ondrej Palat,F,18,3,,NJD,dailyfaceoff
Cody Glass,F,12,3,PP2,NJD,dailyfaceoff
Connor Brown,F,16,3,,NJD,dailyfaceoff
Paul Cotter,F,47,4,,NJD,dailyfaceoff
Juho Lammikko,F,83,4,,NJD,dailyfaceoff
Arseny Gritsyuk,F,81,4,PP2,NJD,dailyfaceoff
Jonas Siegenthaler,D,71,1,,NJD,dailyfaceoff
Dougie Hamilton,D,7,1,PP1,NJD,dailyfaceoff
Luke Hughes,D,43,2,PP2,NJD,dailyfaceoff
Brett Pesce,D,22,2,,NJD,dailyfaceoff
Brenden Dillon,D,5,3,,NJD,dailyfaceoff
Simon Nemec,D,17,3,,NJD,dailyfaceoff
Jonathan Drouin,F,29,1,PP1,NYI,dailyfaceoff
Bo Horvat,F,14,1,PP1,NYI,dailyfaceoff
Emil Heineman,F,51,1,,NYI,dailyfaceoff
Anders Lee,F,27,2,PP1,NYI,dailyfaceoff
Mathew Barzal,F,13,2,PP1,NYI,dailyfaceoff
Kyle Palmieri,F,21,2,PP2,NYI,dailyfaceoff
Maxim Shabanov,F,49,3,PP2,NYI,dailyfaceoff
Jean-Gabriel Pageau,F,44,3,PP2,NYI,dailyfaceoff
Simon Holmstrom,F,10,3,,NYI,dailyfaceoff
Anthony Duclair,F,11,4,PP2,NYI,dailyfaceoff
Casey Cizikas,F,53,4,,NYI,dailyfaceoff
Maxim Tsyplakov,F,7,4,,NYI,dailyfaceoff
Alexander Romanov,D,28,1,,NYI,dailyfaceoff
Tony DeAngelo,D,77,1,PP1,NYI,dailyfaceoff
Adam Pelech,D,3,2,,NYI,dailyfaceoff
Ryan Pulock,D,6,2,,NYI,dailyfaceoff
Matthew Schaefer,D,48,3,PP2,NYI,dailyfaceoff
Scott Mayfield,D,24,3,,NYI,dailyfaceoff
Will Cuylle,F,50,1,PP2,NYR,dailyfaceoff
J.T. Miller,F,8,1,PP1,NYR,dailyfaceoff
Mika Zibanejad,F,93,1,PP1,NYR,dailyfaceoff
