player_name,position,jersey_number,line,team,source,pp_unit
Graf,F,51,2,SJS,puckpedia,
Skinner,F,53,3,SJS,puckpedia,PP2
Goodrow,F,23,4,SJS,puckpedia,
Celebrini,F,71,1,SJS,puckpedia,PP1
Misa,F,77,2,SJS,puckpedia,PP2
Wennberg,F,21,3,SJS,puckpedia,PP2
Gaudette,F,81,4,SJS,puckpedia,PP2
Toffoli,F,73,1,SJS,puckpedia,PP1
Smith,F,2,2,SJS,puckpedia,PP1
Kurashev,F,96,3,SJS,puckpedia,
Reaves,F,75,4,SJS,puckpedia,
Ferraro,D,38,1,SJS,puckpedia,
Leddy,D,4,2,SJS,puckpedia,
Mukhamadullin,D,85,3,SJS,puckpedia,
Liljegren,D,37,1,SJS,puckpedia,PP1
Klingberg,D,3,2,SJS,puckpedia,PP2
Orlov,D,9,3,SJS,puckpedia,
McCann,F,19,1,SEA,puckpedia,PP1
Schwartz,F,17,2,SEA,puckpedia,PP2
Marchment,F,27,3,SEA,puckpedia,PP2
Kartye,F,12,4,SEA,puckpedia,
Beniers,F,10,1,SEA,puckpedia,PP1
Wright,F,51,2,SEA,puckpedia,PP2
Stephenson,F,9,3,SEA,puckpedia,PP1
Gaudreau,F,89,4,SEA,puckpedia,
Eberle,F,7,1,SEA,puckpedia,PP1
Winterton,F,26,2,SEA,puckpedia,
Tolvanen,F,20,3,SEA,puckpedia,PP2
Nyman,F,38,4,SEA,puckpedia,
Dunn,D,29,1,SEA,puckpedia,PP1
Lindgren,D,55,2,SEA,puckpedia,
Mahura,D,28,3,SEA,puckpedia,
Larsson,D,6,1,SEA,puckpedia,
Fleury,D,8,2,SEA,puckpedia,PP2
Oleksiak,D,24,3,SEA,puckpedia,
Buchnevich,F,89,1,STL,puckpedia,PP1
Holloway,F,81,2,STL,puckpedia,PP1
Neighbours,F,63,3,STL,puckpedia,PP2
Toropchenko,F,13,4,STL,puckpedia,
Thomas,F,18,1,STL,puckpedia,PP1
Schenn,F,10,2,STL,puckpedia,PP2
Suter,F,22,3,STL,puckpedia,PP2
Sundqvist,F,70,4,STL,puckpedia,
Snuggerud,F,21,1,STL,puckpedia,PP1
Kyrou,F,25,2,STL,puckpedia,PP2
Bjugstad,F,77,3,STL,puckpedia,
